MolecularWeight,TPSA,Complexity,HeavyAtomCount,RotatableBondCount,RDKit_logP,RDKit_TPSA,RDKit_MolWt,LD50
325.3,9.2,229,19,7,5.5969,9.23,325.29,3.114
136.11,58.9,114,10,0,2.4824,58.86,136.11,2.125
214.3,76.9,131,11,6,3.6372,26.3,214.292,3.185
206.32,20.2,144,15,7,4.2952,20.23,206.329,1.867
192.3,17.1,292,14,2,3.6582,17.07,192.302,1.819
141.17,50.1,154,10,4,1.09928,50.09,141.17,1.495
162.27,0,121,12,0,4.0092,0,162.276,1.96
179.22,52.3,164,13,4,1.7129,52.32,179.219,2.212
323.4,85.2,545,23,8,2.1051,81.7,323.389,2.156
154.25,17.1,105,11,7,3.102,17.07,154.253,1.489
343.93,28.7,249,15,0,4.1067,28.68,343.928,4.76
325.4,53,533,24,7,2.19752,55.2,325.412,2.279
84.12,17.1,72,6,1,1.1515,17.07,84.118,1.42
86.09,25.1,61.9,6,1,-0.216,25.06,86.09,3.043
104.15,29.5,35.1,7,3,0.4037,29.46,104.149,1.265
274.5,159,154,13,8,3.6588,18.46,274.479,3.067
110.97,0,46.9,5,0,2.3253,0,110.971,1.744
280.32,76.7,346,20,5,2.55482,76.66,280.324,3.67
250.36,0,57.7,7,2,2.7737,0,250.361,2.506
164.37,45.8,79.9,7,0,1.5908,43.14,164.375,2.818
196.18,58.2,215,14,2,1.3042,58.2,196.181,3.895
233.39,12,259,17,4,3.4484,12.03,233.399,2.219
111.18,3.2,71.4,8,0,1.1021,3.24,111.188,3.136
412.81,28.7,307,17,0,5.4135,28.68,412.818,5.08
178.61,43.4,156,11,5,1.136,43.37,178.615,1.94
78.04,37.3,42.9,5,1,0.0405,37.3,78.042,4.222
121.18,12.9,80.6,9,0,2.00686,12.89,121.183,2.481
192.21,27.7,205,14,3,2.1524,27.69,192.214,1.654
546.1,130,448,29,20,3.2284,129.98,546.101,2.046
295.32,110,440,20,4,1.74222,101.3,295.32,1.546
242.31,37.3,293,18,4,3.9822,37.3,242.318,2.351
130.19,32.7,75.5,9,4,1.7898,32.67,130.191,3.035
266.38,43.4,307,19,10,4.1631,43.37,266.381,2.019
144.21,38.5,81.7,10,3,-0.3326,38.49,144.218,1.608
350.37,102,507,22,9,2.4914,71.81,350.377,3.553
156.11,71.8,159,11,0,1.3161,69.16,156.116,2.152
256.5,59.4,216,14,3,2.5052,59.42,256.472,2.61
