pH,BOD,SS,DO,CG,Type
6.689,0.68,12.388,8.961,13.892,1
7.751,0.171,20.037,9.877,8.343,1
7.761,0.206,20.166,9.662,30.406,1
7.757,0.224,7.56,9.989,47.849,1
7.111,0.057,15.045,8.708,38.542,1
7.981,0.725,3.881,9.428,41.332,1
7.131,0.973,22.371,8.133,25.682,1
7.917,0.512,12.205,9.323,33.109,1
7.187,0.286,7.722,9.955,26.845,1
7.171,0.671,9.677,9.029,19.27,1
7.354,0.706,17.643,8.437,23.883,1
6.552,0.328,5.061,7.738,45.216,1
7.42,0.966,4.635,8.794,44.325,1
7.491,0.91,7.556,8.228,24.013,1
7.077,0.768,6.782,8.718,34.215,1
8.416,0.426,11.299,8.109,10.661,1
7.947,0.935,19.614,9.974,38.479,1
8.068,0.961,2.184,8.148,5.476,1
8.087,0.425,3.994,8.544,24.226,1
7.588,0.464,5.548,8.307,22.873,1
8.074,0.827,21.035,8.544,49.13,1
7.937,0.333,1.954,7.631,45.884,1
7.31,0.156,24.875,8.612,22.957,1
7.906,0.244,22.919,9.848,18.355,1
8.315,0.265,14.888,8.091,40.114,1
7.119,0.072,17.9,7.918,31.296,1
8.21,0.855,23.532,7.696,41.95,1
7.112,0.609,7.258,8.105,19.493,1
6.72,0.897,19.424,7.68,36.058,1
7.004,0.521,22.782,9.425,12.583,1
8.26,0.823,0.331,9.115,8.058,1
7.587,0.783,18.971,9.992,43.699,1
6.54,0.081,12.837,9.249,9.582,1
7.971,0.489,17.445,8.545,34.28,1
6.789,0.161,3.369,8.668,24.865,1
6.999,0.424,14.033,7.964,2.049,1
6.753,0.122,17.306,8.722,26.074,1
6.726,0.547,9.884,9.396,29.081,1
8.412,0.557,21.586,7.866,33.241,1
7.732,0.932,1.921,9.257,32.927,1
8.061,0.025,24.553,9.589,47.765,1
7.034,0.465,13.328,8.439,1.825,1
7.182,0.15,5.677,9.763,30.412,1
7.429,0.741,24.059,8.105,5.034,1
7.517,0.258,3.794,9.146,44.945,1
8.435,0.475,20.471,8.91,21.863,1
6.838,0.585,10.237,8.593,44.073,1
7.276,0.936,18.736,8.651,31.465,1
7.295,0.324,12.79,9.046,28.624,1
7.338,0.005,18.227,7.709,2.561,1
7.682,0.633,24.843,9.867,43.922,1
7.281,0.974,10.743,8.846,23.128,1
8.45,0.479,3.014,8.131,17.149,1
7.925,0.069,2.026,9.135,12.048,1
7.631,0.32,4.583,8.991,20.183,1
6.882,0.757,16.366,8.968,15.608,1
7.52,0.124,15.01,9.548,45.246,1
7.99,0.893,24.381,9.558,3.078,1
8.267,0.789,7.974,9.254,13.663,1
8.394,0.603,17.626,8.766,24.315,1
8.216,0.262,6.783,9.502,13.559,1
6.505,0.749,5.991,8.604,14.387,1
8.074,0.509,18.625,8.99,27.272,1
7.502,0.054,14.899,7.896,22.618,1
6.786,0.714,22.188,9.048,34.523,1
7.174,0.554,2.253,8.672,42.576,1
6.962,0.102,3.953,8.985,21.35,1
8.497,0.439,20.043,9.121,9.298,1
7.21,0.928,3.563,8.943,19.747,1
7.036,0.987,21.775,9.809,34.086,1
6.527,0.738,6.806,8.072,27.347,1
6.661,0.333,7.921,9.753,49.503,1
7.714,0.379,16.631,7.57,38.191,1
